"","utility","pcr_target","week","measure_date","ND_flag","CDC_TwoWeek_Detection_Flag","CDC_FourWeek_Detections","CDC_FourWeek_Submission","FourWeek_Detection_Percent","CDC_PersistentDetection_Flag","CDC_Detection_Flag"
"1","Utility1","FLUAV",30,2024-11-25,"No Detection","no",1,7,14.2857142857143,"no","yes"
"2","Utility1","FLUAV",31,2024-11-18,"No Detection","yes",1,8,12.5,"no","yes"
"3","Utility1","FLUAV",31,2024-11-21,"No Detection","yes",1,8,12.5,"no","yes"
"4","Utility1","FLUAV",32,2024-11-12,"Detection","yes",2,8,25,"no","yes"
"5","Utility1","FLUAV",32,2024-11-14,"No Detection","yes",2,8,25,"no","yes"
"6","Utility1","FLUAV",33,2024-11-04,"No Detection","no",1,8,12.5,"no","yes"
"7","Utility1","FLUAV",33,2024-11-07,"No Detection","no",1,8,12.5,"no","yes"
"8","Utility1","FLUAV",34,2024-10-28,"No Detection","yes",1,6,16.6666666666667,"no","yes"
"9","Utility1","FLUAV",34,2024-10-31,"No Detection","yes",1,6,16.6666666666667,"no","yes"
"10","Utility1","FLUAV",35,2024-10-21,"Detection","yes",2,6,33.3333333333333,"no","yes"
"11","Utility1","FLUAV",35,2024-10-24,"No Detection","yes",2,6,33.3333333333333,"no","yes"
"12","Utility1","FLUAV",36,2024-10-14,"No Detection","no",1,6,16.6666666666667,"no","yes"
"13","Utility1","FLUAV",36,2024-10-17,"No Detection","no",1,6,16.6666666666667,"no","yes"
"14","Utility1","FLUAV",38,2024-09-30,"Detection","yes",1,7,14.2857142857143,"no","yes"
"15","Utility1","FLUAV",38,2024-10-03,"No Detection","yes",1,7,14.2857142857143,"no","yes"
"16","Utility1","FLUAV",39,2024-09-23,"No Detection","no",0,6,0,"no","no"
"17","Utility1","FLUAV",39,2024-09-26,"No Detection","no",0,6,0,"no","no"
"18","Utility1","FLUAV",40,2024-09-16,"No Detection","no",0,6,0,"no","no"
"19","Utility1","FLUAV",41,2024-09-09,"No Detection","no",0,7,0,"no","no"
"20","Utility1","FLUAV",41,2024-09-12,"No Detection","no",0,7,0,"no","no"
"21","Utility1","FLUAV",42,2024-09-03,"No Detection","no",1,7,14.2857142857143,"no","yes"
"22","Utility1","FLUAV",43,2024-08-26,"No Detection","no",3,8,37.5,"no","yes"
"23","Utility1","FLUAV",43,2024-08-29,"No Detection","no",3,8,37.5,"no","yes"
"24","Utility1","FLUAV",44,2024-08-19,"No Detection","yes",5,8,62.5,"no","yes"
"25","Utility1","FLUAV",44,2024-08-22,"No Detection","yes",5,8,62.5,"no","yes"
"26","Utility1","FLUAV",45,2024-08-12,"No Detection","yes",5,6,83.3333333333333,"yes","no"
"27","Utility1","FLUAV",45,2024-08-15,"Detection","yes",5,6,83.3333333333333,"yes","no"
"28","Utility1","FLUAV",46,2024-08-05,"Detection","yes",6,6,100,"yes","no"
"29","Utility1","FLUAV",46,2024-08-08,"Detection","yes",6,6,100,"yes","no"
"30","Utility1","FLUAV",47,2024-07-29,"Detection","yes",5,6,83.3333333333333,"yes","no"
"31","Utility1","FLUAV",47,2024-08-01,"Detection","yes",5,6,83.3333333333333,"yes","no"
"32","Utility1","FLUAV",49,2024-07-15,"Detection","yes",3,6,50,"no","yes"
"33","Utility1","FLUAV",49,2024-07-18,"Detection","yes",3,6,50,"no","yes"
"34","Utility1","FLUAV",50,2024-07-08,"No Detection","yes",1,4,25,"no","yes"
"35","Utility1","FLUAV",50,2024-07-11,"Detection","yes",1,4,25,"no","yes"
"36","Utility1","FLUAV",51,2024-07-01,"No Detection","no",0,2,0,"no","no"
"37","Utility1","FLUAV",52,2024-06-27,"No Detection","no",0,1,0,"no","no"
"38","Utility1","FLUBV",30,2024-11-25,"No Detection","no",0,7,0,"no","no"
"39","Utility1","FLUBV",31,2024-11-18,"No Detection","no",0,8,0,"no","no"
"40","Utility1","FLUBV",31,2024-11-21,"No Detection","no",0,8,0,"no","no"
"41","Utility1","FLUBV",32,2024-11-12,"No Detection","no",0,8,0,"no","no"
"42","Utility1","FLUBV",32,2024-11-14,"No Detection","no",0,8,0,"no","no"
"43","Utility1","FLUBV",33,2024-11-04,"No Detection","no",0,8,0,"no","no"
"44","Utility1","FLUBV",33,2024-11-07,"No Detection","no",0,8,0,"no","no"
"45","Utility1","FLUBV",34,2024-10-28,"No Detection","no",0,6,0,"no","no"
"46","Utility1","FLUBV",34,2024-10-31,"No Detection","no",0,6,0,"no","no"
"47","Utility1","FLUBV",35,2024-10-21,"No Detection","no",0,6,0,"no","no"
"48","Utility1","FLUBV",35,2024-10-24,"No Detection","no",0,6,0,"no","no"
"49","Utility1","FLUBV",36,2024-10-14,"No Detection","no",0,6,0,"no","no"
"50","Utility1","FLUBV",36,2024-10-17,"No Detection","no",0,6,0,"no","no"
"51","Utility1","FLUBV",38,2024-09-30,"No Detection","no",0,7,0,"no","no"
"52","Utility1","FLUBV",38,2024-10-03,"No Detection","no",0,7,0,"no","no"
"53","Utility1","FLUBV",39,2024-09-23,"No Detection","no",0,6,0,"no","no"
"54","Utility1","FLUBV",39,2024-09-26,"No Detection","no",0,6,0,"no","no"
"55","Utility1","FLUBV",40,2024-09-16,"No Detection","no",0,6,0,"no","no"
"56","Utility1","FLUBV",41,2024-09-09,"No Detection","no",0,7,0,"no","no"
"57","Utility1","FLUBV",41,2024-09-12,"No Detection","no",0,7,0,"no","no"
"58","Utility1","FLUBV",42,2024-09-03,"No Detection","no",0,7,0,"no","no"
"59","Utility1","FLUBV",43,2024-08-26,"No Detection","no",0,8,0,"no","no"
"60","Utility1","FLUBV",43,2024-08-29,"No Detection","no",0,8,0,"no","no"
"61","Utility1","FLUBV",44,2024-08-19,"No Detection","no",0,8,0,"no","no"
"62","Utility1","FLUBV",44,2024-08-22,"No Detection","no",0,8,0,"no","no"
"63","Utility1","FLUBV",45,2024-08-12,"No Detection","no",0,6,0,"no","no"
"64","Utility1","FLUBV",45,2024-08-15,"No Detection","no",0,6,0,"no","no"
"65","Utility1","FLUBV",46,2024-08-05,"No Detection","no",0,6,0,"no","no"
"66","Utility1","FLUBV",46,2024-08-08,"No Detection","no",0,6,0,"no","no"
"67","Utility1","FLUBV",47,2024-07-29,"No Detection","no",0,6,0,"no","no"
"68","Utility1","FLUBV",47,2024-08-01,"No Detection","no",0,6,0,"no","no"
"69","Utility1","FLUBV",49,2024-07-15,"No Detection","no",0,6,0,"no","no"
"70","Utility1","FLUBV",49,2024-07-18,"No Detection","no",0,6,0,"no","no"
"71","Utility1","FLUBV",50,2024-07-08,"No Detection","no",0,4,0,"no","no"
"72","Utility1","FLUBV",50,2024-07-11,"No Detection","no",0,4,0,"no","no"
"73","Utility1","FLUBV",51,2024-07-01,"No Detection","no",0,2,0,"no","no"
"74","Utility1","FLUBV",52,2024-06-27,"No Detection","no",0,1,0,"no","no"
"75","Utility1","H1",30,2024-11-25,"No Detection","no",0,7,0,"no","no"
"76","Utility1","H1",31,2024-11-18,"No Detection","no",0,8,0,"no","no"
"77","Utility1","H1",31,2024-11-21,"No Detection","no",0,8,0,"no","no"
"78","Utility1","H1",32,2024-11-12,"No Detection","no",0,8,0,"no","no"
"79","Utility1","H1",32,2024-11-14,"No Detection","no",0,8,0,"no","no"
"80","Utility1","H1",33,2024-11-04,"No Detection","no",0,8,0,"no","no"
"81","Utility1","H1",33,2024-11-07,"No Detection","no",0,8,0,"no","no"
"82","Utility1","H1",34,2024-10-28,"No Detection","no",0,6,0,"no","no"
"83","Utility1","H1",34,2024-10-31,"No Detection","no",0,6,0,"no","no"
"84","Utility1","H1",35,2024-10-21,"No Detection","no",0,6,0,"no","no"
"85","Utility1","H1",35,2024-10-24,"No Detection","no",0,6,0,"no","no"
"86","Utility1","H1",36,2024-10-14,"No Detection","no",0,6,0,"no","no"
"87","Utility1","H1",36,2024-10-17,"No Detection","no",0,6,0,"no","no"
"88","Utility1","H1",38,2024-09-30,"No Detection","no",0,4,0,"no","no"
"89","Utility1","H1",38,2024-10-03,"No Detection","no",0,4,0,"no","no"
"90","Utility1","H1",39,2024-09-23,"No Detection","no",0,2,0,"no","no"
"91","Utility1","H1",39,2024-09-26,"No Detection","no",0,2,0,"no","no"
"92","Utility1","H1",45,2024-08-15,"No Detection","no",1,5,20,"no","yes"
"93","Utility1","H1",46,2024-08-05,"No Detection","yes",1,7,14.2857142857143,"no","yes"
"94","Utility1","H1",46,2024-08-08,"No Detection","yes",1,7,14.2857142857143,"no","yes"
"95","Utility1","H1",47,2024-07-29,"No Detection","yes",1,6,16.6666666666667,"no","yes"
"96","Utility1","H1",47,2024-08-01,"Detection","yes",1,6,16.6666666666667,"no","yes"
"97","Utility1","H1",49,2024-07-15,"No Detection","no",0,4,0,"no","no"
"98","Utility1","H1",49,2024-07-17,"No Detection","no",0,4,0,"no","no"
"99","Utility1","H1",49,2024-07-18,"No Detection","no",0,4,0,"no","no"
"100","Utility1","H1",50,2024-07-11,"No Detection","no",0,1,0,"no","no"
"101","Utility1","H3",30,2024-11-25,"No Detection","no",0,7,0,"no","no"
"102","Utility1","H3",31,2024-11-18,"No Detection","no",0,8,0,"no","no"
"103","Utility1","H3",31,2024-11-21,"No Detection","no",0,8,0,"no","no"
"104","Utility1","H3",32,2024-11-12,"No Detection","no",0,8,0,"no","no"
"105","Utility1","H3",32,2024-11-14,"No Detection","no",0,8,0,"no","no"
"106","Utility1","H3",33,2024-11-04,"No Detection","no",0,8,0,"no","no"
"107","Utility1","H3",33,2024-11-07,"No Detection","no",0,8,0,"no","no"
"108","Utility1","H3",34,2024-10-28,"No Detection","no",0,6,0,"no","no"
"109","Utility1","H3",34,2024-10-31,"No Detection","no",0,6,0,"no","no"
"110","Utility1","H3",35,2024-10-21,"No Detection","no",0,6,0,"no","no"
"111","Utility1","H3",35,2024-10-24,"No Detection","no",0,6,0,"no","no"
"112","Utility1","H3",36,2024-10-14,"No Detection","no",0,6,0,"no","no"
"113","Utility1","H3",36,2024-10-17,"No Detection","no",0,6,0,"no","no"
"114","Utility1","H3",38,2024-09-30,"No Detection","no",0,4,0,"no","no"
"115","Utility1","H3",38,2024-10-03,"No Detection","no",0,4,0,"no","no"
"116","Utility1","H3",39,2024-09-23,"No Detection","no",0,2,0,"no","no"
"117","Utility1","H3",39,2024-09-26,"No Detection","no",0,2,0,"no","no"
"118","Utility1","H3",45,2024-08-15,"No Detection","no",1,5,20,"no","yes"
"119","Utility1","H3",46,2024-08-05,"No Detection","yes",1,7,14.2857142857143,"no","yes"
"120","Utility1","H3",46,2024-08-08,"No Detection","yes",1,7,14.2857142857143,"no","yes"
"121","Utility1","H3",47,2024-07-29,"No Detection","yes",1,6,16.6666666666667,"no","yes"
"122","Utility1","H3",47,2024-08-01,"Detection","yes",1,6,16.6666666666667,"no","yes"
"123","Utility1","H3",49,2024-07-15,"No Detection","no",0,4,0,"no","no"
"124","Utility1","H3",49,2024-07-17,"No Detection","no",0,4,0,"no","no"
"125","Utility1","H3",49,2024-07-18,"No Detection","no",0,4,0,"no","no"
"126","Utility1","H3",50,2024-07-11,"No Detection","no",0,1,0,"no","no"
"127","Utility1","H5",30,2024-11-25,"No Detection","no",0,7,0,"no","no"
"128","Utility1","H5",31,2024-11-18,"No Detection","no",0,8,0,"no","no"
"129","Utility1","H5",31,2024-11-21,"No Detection","no",0,8,0,"no","no"
"130","Utility1","H5",32,2024-11-12,"No Detection","no",0,8,0,"no","no"
"131","Utility1","H5",32,2024-11-14,"No Detection","no",0,8,0,"no","no"
"132","Utility1","H5",33,2024-11-04,"No Detection","no",0,8,0,"no","no"
"133","Utility1","H5",33,2024-11-07,"No Detection","no",0,8,0,"no","no"
"134","Utility1","H5",34,2024-10-28,"No Detection","no",0,6,0,"no","no"
"135","Utility1","H5",34,2024-10-31,"No Detection","no",0,6,0,"no","no"
"136","Utility1","H5",35,2024-10-21,"No Detection","no",0,6,0,"no","no"
"137","Utility1","H5",35,2024-10-24,"No Detection","no",0,6,0,"no","no"
"138","Utility1","H5",36,2024-10-14,"No Detection","no",0,6,0,"no","no"
"139","Utility1","H5",36,2024-10-17,"No Detection","no",0,6,0,"no","no"
"140","Utility1","H5",38,2024-09-30,"No Detection","no",0,4,0,"no","no"
"141","Utility1","H5",38,2024-10-03,"No Detection","no",0,4,0,"no","no"
"142","Utility1","H5",39,2024-09-23,"No Detection","no",0,2,0,"no","no"
"143","Utility1","H5",39,2024-09-26,"No Detection","no",0,2,0,"no","no"
"144","Utility1","H5",45,2024-08-15,"No Detection","no",1,5,20,"no","yes"
"145","Utility1","H5",46,2024-08-05,"No Detection","yes",2,7,28.5714285714286,"no","yes"
"146","Utility1","H5",46,2024-08-08,"No Detection","yes",2,7,28.5714285714286,"no","yes"
"147","Utility1","H5",47,2024-07-29,"No Detection","yes",2,6,33.3333333333333,"no","yes"
"148","Utility1","H5",47,2024-08-01,"Detection","yes",2,6,33.3333333333333,"no","yes"
"149","Utility1","H5",49,2024-07-15,"No Detection","yes",1,4,25,"no","yes"
"150","Utility1","H5",49,2024-07-17,"Detection","yes",1,4,25,"no","yes"
"151","Utility1","H5",49,2024-07-18,"No Detection","yes",1,4,25,"no","yes"
"152","Utility1","H5",50,2024-07-11,"No Detection","no",0,1,0,"no","no"
"153","Utility1","PanRSV",30,2024-11-25,"No Detection","no",1,7,14.2857142857143,"no","yes"
"154","Utility1","PanRSV",31,2024-11-18,"No Detection","yes",1,8,12.5,"no","yes"
"155","Utility1","PanRSV",31,2024-11-21,"No Detection","yes",1,8,12.5,"no","yes"
"156","Utility1","PanRSV",32,2024-11-12,"No Detection","yes",1,8,12.5,"no","yes"
"157","Utility1","PanRSV",32,2024-11-14,"Detection","yes",1,8,12.5,"no","yes"
"158","Utility1","PanRSV",33,2024-11-04,"No Detection","no",0,8,0,"no","no"
"159","Utility1","PanRSV",33,2024-11-07,"No Detection","no",0,8,0,"no","no"
"160","Utility1","PanRSV",34,2024-10-28,"No Detection","no",0,6,0,"no","no"
"161","Utility1","PanRSV",34,2024-10-31,"No Detection","no",0,6,0,"no","no"
"162","Utility1","PanRSV",35,2024-10-21,"No Detection","no",0,6,0,"no","no"
"163","Utility1","PanRSV",35,2024-10-24,"No Detection","no",0,6,0,"no","no"
"164","Utility1","PanRSV",36,2024-10-14,"No Detection","no",0,6,0,"no","no"
"165","Utility1","PanRSV",36,2024-10-17,"No Detection","no",0,6,0,"no","no"
"166","Utility1","PanRSV",38,2024-09-30,"No Detection","no",0,7,0,"no","no"
"167","Utility1","PanRSV",38,2024-10-03,"No Detection","no",0,7,0,"no","no"
"168","Utility1","PanRSV",39,2024-09-23,"No Detection","no",0,6,0,"no","no"
"169","Utility1","PanRSV",39,2024-09-26,"No Detection","no",0,6,0,"no","no"
"170","Utility1","PanRSV",40,2024-09-16,"No Detection","no",0,6,0,"no","no"
"171","Utility1","PanRSV",41,2024-09-09,"No Detection","no",0,7,0,"no","no"
"172","Utility1","PanRSV",41,2024-09-12,"No Detection","no",0,7,0,"no","no"
"173","Utility1","PanRSV",42,2024-09-03,"No Detection","no",0,7,0,"no","no"
"174","Utility1","PanRSV",43,2024-08-26,"No Detection","no",1,8,12.5,"no","yes"
"175","Utility1","PanRSV",43,2024-08-29,"No Detection","no",1,8,12.5,"no","yes"
"176","Utility1","PanRSV",44,2024-08-19,"No Detection","no",1,8,12.5,"no","yes"
"177","Utility1","PanRSV",44,2024-08-22,"No Detection","no",1,8,12.5,"no","yes"
"178","Utility1","PanRSV",45,2024-08-12,"No Detection","yes",1,6,16.6666666666667,"no","yes"
"179","Utility1","PanRSV",45,2024-08-15,"No Detection","yes",1,6,16.6666666666667,"no","yes"
"180","Utility1","PanRSV",46,2024-08-05,"Detection","yes",1,6,16.6666666666667,"no","yes"
"181","Utility1","PanRSV",46,2024-08-08,"No Detection","yes",1,6,16.6666666666667,"no","yes"
"182","Utility1","PanRSV",47,2024-07-29,"No Detection","no",0,6,0,"no","no"
"183","Utility1","PanRSV",47,2024-08-01,"No Detection","no",0,6,0,"no","no"
"184","Utility1","PanRSV",49,2024-07-15,"No Detection","no",1,6,16.6666666666667,"no","yes"
"185","Utility1","PanRSV",49,2024-07-18,"No Detection","no",1,6,16.6666666666667,"no","yes"
"186","Utility1","PanRSV",50,2024-07-08,"No Detection","no",1,4,25,"no","yes"
"187","Utility1","PanRSV",50,2024-07-11,"No Detection","no",1,4,25,"no","yes"
"188","Utility1","PanRSV",51,2024-07-01,"No Detection","yes",1,2,50,"no","yes"
"189","Utility1","PanRSV",52,2024-06-27,"Detection","yes",1,1,100,"yes","no"
"190","Utility1","sars-cov-2",30,2024-11-25,"No Detection","no",4,7,57.1428571428571,"no","yes"
"191","Utility1","sars-cov-2",31,2024-11-18,"No Detection","yes",6,8,75,"no","yes"
"192","Utility1","sars-cov-2",31,2024-11-21,"No Detection","yes",6,8,75,"no","yes"
"193","Utility1","sars-cov-2",32,2024-11-12,"Detection","yes",8,8,100,"yes","no"
"194","Utility1","sars-cov-2",32,2024-11-14,"Detection","yes",8,8,100,"yes","no"
"195","Utility1","sars-cov-2",33,2024-11-04,"Detection","yes",8,8,100,"yes","no"
"196","Utility1","sars-cov-2",33,2024-11-07,"Detection","yes",8,8,100,"yes","no"
"197","Utility1","sars-cov-2",34,2024-10-28,"Detection","yes",6,6,100,"yes","no"
"198","Utility1","sars-cov-2",34,2024-10-31,"Detection","yes",6,6,100,"yes","no"
"199","Utility1","sars-cov-2",35,2024-10-21,"Detection","yes",6,6,100,"yes","no"
"200","Utility1","sars-cov-2",35,2024-10-24,"Detection","yes",6,6,100,"yes","no"
"201","Utility1","sars-cov-2",36,2024-10-14,"Detection","yes",6,6,100,"yes","no"
"202","Utility1","sars-cov-2",36,2024-10-17,"Detection","yes",6,6,100,"yes","no"
"203","Utility1","sars-cov-2",38,2024-09-30,"Detection","yes",6,7,85.7142857142857,"yes","no"
"204","Utility1","sars-cov-2",38,2024-10-03,"Detection","yes",6,7,85.7142857142857,"yes","no"
"205","Utility1","sars-cov-2",39,2024-09-23,"Detection","yes",5,6,83.3333333333333,"yes","no"
"206","Utility1","sars-cov-2",39,2024-09-26,"Detection","yes",5,6,83.3333333333333,"yes","no"
"207","Utility1","sars-cov-2",40,2024-09-16,"Detection","yes",5,6,83.3333333333333,"yes","no"
"208","Utility1","sars-cov-2",41,2024-09-09,"Detection","yes",6,7,85.7142857142857,"yes","no"
"209","Utility1","sars-cov-2",41,2024-09-12,"No Detection","yes",6,7,85.7142857142857,"yes","no"
"210","Utility1","sars-cov-2",42,2024-09-03,"Detection","yes",7,7,100,"yes","no"
"211","Utility1","sars-cov-2",43,2024-08-26,"Detection","yes",8,8,100,"yes","no"
"212","Utility1","sars-cov-2",43,2024-08-29,"Detection","yes",8,8,100,"yes","no"
"213","Utility1","sars-cov-2",44,2024-08-19,"Detection","yes",8,8,100,"yes","no"
"214","Utility1","sars-cov-2",44,2024-08-22,"Detection","yes",8,8,100,"yes","no"
"215","Utility1","sars-cov-2",45,2024-08-12,"Detection","yes",6,6,100,"yes","no"
"216","Utility1","sars-cov-2",45,2024-08-15,"Detection","yes",6,6,100,"yes","no"
"217","Utility1","sars-cov-2",46,2024-08-05,"Detection","yes",6,6,100,"yes","no"
"218","Utility1","sars-cov-2",46,2024-08-08,"Detection","yes",6,6,100,"yes","no"
"219","Utility1","sars-cov-2",47,2024-07-29,"Detection","yes",5,6,83.3333333333333,"yes","no"
"220","Utility1","sars-cov-2",47,2024-08-01,"Detection","yes",5,6,83.3333333333333,"yes","no"
"221","Utility1","sars-cov-2",49,2024-07-15,"Detection","yes",5,6,83.3333333333333,"yes","no"
"222","Utility1","sars-cov-2",49,2024-07-18,"Detection","yes",5,6,83.3333333333333,"yes","no"
"223","Utility1","sars-cov-2",50,2024-07-08,"No Detection","yes",3,4,75,"no","yes"
"224","Utility1","sars-cov-2",50,2024-07-11,"Detection","yes",3,4,75,"no","yes"
"225","Utility1","sars-cov-2",51,2024-07-01,"Detection","yes",2,2,100,"yes","no"
"226","Utility1","sars-cov-2",52,2024-06-27,"Detection","yes",1,1,100,"yes","no"
"227","Utility2","FLUAV",30,2024-11-25,"No Detection","no",4,7,57.1428571428571,"no","yes"
"228","Utility2","FLUAV",31,2024-11-18,"No Detection","yes",6,8,75,"no","yes"
"229","Utility2","FLUAV",31,2024-11-21,"No Detection","yes",6,8,75,"no","yes"
"230","Utility2","FLUAV",32,2024-11-12,"Detection","yes",7,8,87.5,"yes","no"
"231","Utility2","FLUAV",32,2024-11-14,"Detection","yes",7,8,87.5,"yes","no"
"232","Utility2","FLUAV",33,2024-11-04,"Detection","yes",7,8,87.5,"yes","no"
"233","Utility2","FLUAV",33,2024-11-07,"Detection","yes",7,8,87.5,"yes","no"
"234","Utility2","FLUAV",34,2024-10-28,"Detection","yes",5,8,62.5,"no","yes"
"235","Utility2","FLUAV",34,2024-10-31,"Detection","yes",5,8,62.5,"no","yes"
"236","Utility2","FLUAV",35,2024-10-21,"Detection","yes",3,8,37.5,"no","yes"
"237","Utility2","FLUAV",35,2024-10-24,"No Detection","yes",3,8,37.5,"no","yes"
"238","Utility2","FLUAV",36,2024-10-14,"Detection","yes",2,8,25,"no","yes"
"239","Utility2","FLUAV",36,2024-10-17,"Detection","yes",2,8,25,"no","yes"
"240","Utility2","FLUAV",37,2024-10-08,"No Detection","no",0,7,0,"no","no"
"241","Utility2","FLUAV",37,2024-10-10,"No Detection","no",0,7,0,"no","no"
"242","Utility2","FLUAV",38,2024-09-30,"No Detection","no",0,7,0,"no","no"
"243","Utility2","FLUAV",38,2024-10-03,"No Detection","no",0,7,0,"no","no"
"244","Utility2","FLUAV",39,2024-09-23,"No Detection","no",0,6,0,"no","no"
"245","Utility2","FLUAV",39,2024-09-26,"No Detection","no",0,6,0,"no","no"
"246","Utility2","FLUAV",40,2024-09-16,"No Detection","no",0,6,0,"no","no"
"247","Utility2","FLUAV",41,2024-09-09,"No Detection","no",1,7,14.2857142857143,"no","yes"
"248","Utility2","FLUAV",41,2024-09-12,"No Detection","no",1,7,14.2857142857143,"no","yes"
"249","Utility2","FLUAV",42,2024-09-03,"No Detection","no",2,7,28.5714285714286,"no","yes"
"250","Utility2","FLUAV",43,2024-08-26,"No Detection","yes",4,8,50,"no","yes"
"251","Utility2","FLUAV",43,2024-08-29,"No Detection","yes",4,8,50,"no","yes"
"252","Utility2","FLUAV",44,2024-08-19,"No Detection","yes",6,8,75,"no","yes"
"253","Utility2","FLUAV",44,2024-08-22,"Detection","yes",6,8,75,"no","yes"
"254","Utility2","FLUAV",45,2024-08-12,"Detection","yes",6,8,75,"no","yes"
"255","Utility2","FLUAV",45,2024-08-15,"No Detection","yes",6,8,75,"no","yes"
"256","Utility2","FLUAV",46,2024-08-05,"Detection","yes",6,8,75,"no","yes"
"257","Utility2","FLUAV",46,2024-08-08,"Detection","yes",6,8,75,"no","yes"
"258","Utility2","FLUAV",47,2024-07-29,"Detection","yes",4,8,50,"no","yes"
"259","Utility2","FLUAV",47,2024-08-01,"Detection","yes",4,8,50,"no","yes"
"260","Utility2","FLUAV",48,2024-07-22,"No Detection","yes",2,7,28.5714285714286,"no","yes"
"261","Utility2","FLUAV",48,2024-07-25,"Detection","yes",2,7,28.5714285714286,"no","yes"
"262","Utility2","FLUAV",49,2024-07-15,"Detection","yes",1,6,16.6666666666667,"no","yes"
"263","Utility2","FLUAV",49,2024-07-18,"No Detection","yes",1,6,16.6666666666667,"no","yes"
"264","Utility2","FLUAV",50,2024-07-08,"No Detection","no",0,4,0,"no","no"
"265","Utility2","FLUAV",50,2024-07-11,"No Detection","no",0,4,0,"no","no"
"266","Utility2","FLUAV",51,2024-07-01,"No Detection","no",0,2,0,"no","no"
"267","Utility2","FLUAV",52,2024-06-27,"No Detection","no",0,1,0,"no","no"
"268","Utility2","FLUBV",30,2024-11-25,"No Detection","no",0,7,0,"no","no"
"269","Utility2","FLUBV",31,2024-11-18,"No Detection","no",0,8,0,"no","no"
"270","Utility2","FLUBV",31,2024-11-21,"No Detection","no",0,8,0,"no","no"
"271","Utility2","FLUBV",32,2024-11-12,"No Detection","no",0,8,0,"no","no"
"272","Utility2","FLUBV",32,2024-11-14,"No Detection","no",0,8,0,"no","no"
"273","Utility2","FLUBV",33,2024-11-04,"No Detection","no",0,8,0,"no","no"
"274","Utility2","FLUBV",33,2024-11-07,"No Detection","no",0,8,0,"no","no"
"275","Utility2","FLUBV",34,2024-10-28,"No Detection","no",0,8,0,"no","no"
"276","Utility2","FLUBV",34,2024-10-31,"No Detection","no",0,8,0,"no","no"
"277","Utility2","FLUBV",35,2024-10-21,"No Detection","no",0,8,0,"no","no"
"278","Utility2","FLUBV",35,2024-10-24,"No Detection","no",0,8,0,"no","no"
