"","utility","pcr_target","measure_date","ND_flag","year_week","week_start","week","CDC_TwoWeek_Detection_Flag","CDC_FourWeek_Detections","CDC_FourWeek_Submission","FourWeek_Detection_Percent","CDC_PersistentDetection_Flag","CDC_Detection_Flag"
"129","Utility3","H1",2024-12-26,"Detection","2024-52",2024-12-23,26,"yes",2,7,28.5714285714286,"no","yes"
"130","Utility3","H1",2024-12-30,"Detection","2025-1",2024-12-30,25,"yes",4,7,57.1428571428571,"no","yes"
"131","Utility3","H3",2024-12-02,"Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"132","Utility3","H3",2024-12-05,"No Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"133","Utility3","H3",2024-12-09,"Detection","2024-50",2024-12-09,28,"yes",3,4,75,"no","yes"
"134","Utility3","H3",2024-12-12,"Detection","2024-50",2024-12-09,28,"yes",3,4,75,"no","yes"
"135","Utility3","H3",2024-12-16,"Detection","2024-51",2024-12-16,27,"yes",4,6,66.6666666666667,"no","yes"
"136","Utility3","H3",2024-12-19,"No Detection","2024-51",2024-12-16,27,"yes",4,6,66.6666666666667,"no","yes"
"137","Utility3","H3",2024-12-26,"Detection","2024-52",2024-12-23,26,"yes",5,7,71.4285714285714,"no","yes"
"138","Utility3","H3",2024-12-30,"Detection","2025-1",2024-12-30,25,"yes",6,7,85.7142857142857,"yes","no"
"139","Utility3","H5",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"140","Utility3","H5",2024-12-05,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"141","Utility3","H5",2024-12-09,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"142","Utility3","H5",2024-12-12,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"143","Utility3","H5",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"144","Utility3","H5",2024-12-19,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"145","Utility3","H5",2024-12-26,"No Detection","2024-52",2024-12-23,26,"no",0,7,0,"no","no"
"146","Utility3","H5",2024-12-30,"No Detection","2025-1",2024-12-30,25,"no",0,7,0,"no","no"
"147","Utility3","PanRSV",2024-12-02,"Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"148","Utility3","PanRSV",2024-12-05,"No Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"149","Utility3","PanRSV",2024-12-09,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"150","Utility3","PanRSV",2024-12-12,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"151","Utility3","PanRSV",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",1,6,16.6666666666667,"no","yes"
"152","Utility3","PanRSV",2024-12-19,"No Detection","2024-51",2024-12-16,27,"no",1,6,16.6666666666667,"no","yes"
"153","Utility3","PanRSV",2024-12-26,"Detection","2024-52",2024-12-23,26,"yes",2,7,28.5714285714286,"no","yes"
"154","Utility3","PanRSV",2024-12-30,"Detection","2025-1",2024-12-30,25,"yes",3,7,42.8571428571429,"no","yes"
"155","Utility3","sars-cov-2",2024-12-02,"Detection","2024-49",2024-12-02,29,"yes",2,2,100,"yes","no"
"156","Utility3","sars-cov-2",2024-12-05,"Detection","2024-49",2024-12-02,29,"yes",2,2,100,"yes","no"
"157","Utility3","sars-cov-2",2024-12-09,"Detection","2024-50",2024-12-09,28,"yes",4,4,100,"yes","no"
"158","Utility3","sars-cov-2",2024-12-12,"Detection","2024-50",2024-12-09,28,"yes",4,4,100,"yes","no"
"159","Utility3","sars-cov-2",2024-12-16,"Detection","2024-51",2024-12-16,27,"yes",6,6,100,"yes","no"
"160","Utility3","sars-cov-2",2024-12-19,"Detection","2024-51",2024-12-16,27,"yes",6,6,100,"yes","no"
"161","Utility3","sars-cov-2",2024-12-26,"Detection","2024-52",2024-12-23,26,"yes",7,7,100,"yes","no"
"162","Utility3","sars-cov-2",2024-12-30,"Detection","2025-1",2024-12-30,25,"yes",7,7,100,"yes","no"
"163","Utility4","FLUAV",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"164","Utility4","FLUAV",2024-12-04,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"165","Utility4","FLUAV",2024-12-09,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"166","Utility4","FLUAV",2024-12-11,"Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"167","Utility4","FLUAV",2024-12-16,"Detection","2024-51",2024-12-16,27,"yes",3,6,50,"no","yes"
"168","Utility4","FLUAV",2024-12-18,"Detection","2024-51",2024-12-16,27,"yes",3,6,50,"no","yes"
"169","Utility4","FLUAV",2024-12-30,"Detection","2025-1",2024-12-30,25,"yes",4,5,80,"yes","yes"
"170","Utility4","FLUBV",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"171","Utility4","FLUBV",2024-12-04,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"172","Utility4","FLUBV",2024-12-09,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"173","Utility4","FLUBV",2024-12-11,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"174","Utility4","FLUBV",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"175","Utility4","FLUBV",2024-12-18,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"176","Utility4","FLUBV",2024-12-30,"No Detection","2025-1",2024-12-30,25,"no",0,5,0,"no","no"
"177","Utility4","H1",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"178","Utility4","H1",2024-12-04,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"179","Utility4","H1",2024-12-09,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"180","Utility4","H1",2024-12-11,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"181","Utility4","H1",2024-12-16,"No Detection","2024-51",2024-12-16,27,"yes",1,6,16.6666666666667,"no","yes"
"182","Utility4","H1",2024-12-18,"Detection","2024-51",2024-12-16,27,"yes",1,6,16.6666666666667,"no","yes"
"183","Utility4","H1",2024-12-30,"Detection","2025-1",2024-12-30,25,"yes",2,5,40,"no","yes"
"184","Utility4","H3",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"185","Utility4","H3",2024-12-04,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"186","Utility4","H3",2024-12-09,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"187","Utility4","H3",2024-12-11,"Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"188","Utility4","H3",2024-12-16,"No Detection","2024-51",2024-12-16,27,"yes",2,6,33.3333333333333,"no","yes"
"189","Utility4","H3",2024-12-18,"Detection","2024-51",2024-12-16,27,"yes",2,6,33.3333333333333,"no","yes"
"190","Utility4","H3",2024-12-30,"Detection","2025-1",2024-12-30,25,"yes",3,5,60,"no","yes"
"191","Utility4","H5",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"192","Utility4","H5",2024-12-04,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"193","Utility4","H5",2024-12-09,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"194","Utility4","H5",2024-12-11,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"195","Utility4","H5",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"196","Utility4","H5",2024-12-18,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"197","Utility4","H5",2024-12-30,"No Detection","2025-1",2024-12-30,25,"no",0,5,0,"no","no"
"198","Utility4","PanRSV",2024-12-02,"Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"199","Utility4","PanRSV",2024-12-04,"No Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"200","Utility4","PanRSV",2024-12-09,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"201","Utility4","PanRSV",2024-12-11,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"202","Utility4","PanRSV",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",1,6,16.6666666666667,"no","yes"
"203","Utility4","PanRSV",2024-12-18,"No Detection","2024-51",2024-12-16,27,"no",1,6,16.6666666666667,"no","yes"
"204","Utility4","PanRSV",2024-12-30,"No Detection","2025-1",2024-12-30,25,"no",0,5,0,"no","no"
"205","Utility4","sars-cov-2",2024-12-02,"Detection","2024-49",2024-12-02,29,"yes",2,2,100,"yes","no"
"206","Utility4","sars-cov-2",2024-12-04,"Detection","2024-49",2024-12-02,29,"yes",2,2,100,"yes","no"
"207","Utility4","sars-cov-2",2024-12-09,"Detection","2024-50",2024-12-09,28,"yes",4,4,100,"yes","no"
"208","Utility4","sars-cov-2",2024-12-11,"Detection","2024-50",2024-12-09,28,"yes",4,4,100,"yes","no"
"209","Utility4","sars-cov-2",2024-12-16,"Detection","2024-51",2024-12-16,27,"yes",6,6,100,"yes","no"
"210","Utility4","sars-cov-2",2024-12-18,"Detection","2024-51",2024-12-16,27,"yes",6,6,100,"yes","no"
"211","Utility4","sars-cov-2",2024-12-30,"Detection","2025-1",2024-12-30,25,"yes",5,5,100,"yes","no"
"212","Utility5","FLUAV",2024-12-02,"Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"213","Utility5","FLUAV",2024-12-05,"No Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"214","Utility5","FLUAV",2024-12-09,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"215","Utility5","FLUAV",2024-12-12,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"216","Utility5","FLUAV",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",1,6,16.6666666666667,"no","yes"
"217","Utility5","FLUAV",2024-12-19,"No Detection","2024-51",2024-12-16,27,"no",1,6,16.6666666666667,"no","yes"
"218","Utility5","FLUAV",2024-12-26,"Detection","2024-52",2024-12-23,26,"yes",2,7,28.5714285714286,"no","yes"
"219","Utility5","FLUBV",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"220","Utility5","FLUBV",2024-12-05,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"221","Utility5","FLUBV",2024-12-09,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"222","Utility5","FLUBV",2024-12-12,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"223","Utility5","FLUBV",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"224","Utility5","FLUBV",2024-12-19,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"225","Utility5","FLUBV",2024-12-26,"Detection","2024-52",2024-12-23,26,"yes",1,7,14.2857142857143,"no","yes"
"226","Utility5","H1",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"227","Utility5","H1",2024-12-05,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"228","Utility5","H1",2024-12-09,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"229","Utility5","H1",2024-12-12,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"230","Utility5","H1",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"231","Utility5","H1",2024-12-19,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"232","Utility5","H1",2024-12-26,"Detection","2024-52",2024-12-23,26,"yes",1,7,14.2857142857143,"no","yes"
"233","Utility5","H3",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"234","Utility5","H3",2024-12-05,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"235","Utility5","H3",2024-12-09,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"236","Utility5","H3",2024-12-12,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"237","Utility5","H3",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"238","Utility5","H3",2024-12-19,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"239","Utility5","H3",2024-12-26,"Detection","2024-52",2024-12-23,26,"yes",1,7,14.2857142857143,"no","yes"
"240","Utility5","H5",2024-12-02,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"241","Utility5","H5",2024-12-05,"No Detection","2024-49",2024-12-02,29,"no",0,2,0,"no","no"
"242","Utility5","H5",2024-12-09,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"243","Utility5","H5",2024-12-12,"No Detection","2024-50",2024-12-09,28,"no",0,4,0,"no","no"
"244","Utility5","H5",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"245","Utility5","H5",2024-12-19,"No Detection","2024-51",2024-12-16,27,"no",0,6,0,"no","no"
"246","Utility5","H5",2024-12-26,"No Detection","2024-52",2024-12-23,26,"no",0,7,0,"no","no"
"247","Utility5","PanRSV",2024-12-02,"Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"248","Utility5","PanRSV",2024-12-05,"No Detection","2024-49",2024-12-02,29,"yes",1,2,50,"no","yes"
"249","Utility5","PanRSV",2024-12-09,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"250","Utility5","PanRSV",2024-12-12,"No Detection","2024-50",2024-12-09,28,"yes",1,4,25,"no","yes"
"251","Utility5","PanRSV",2024-12-16,"No Detection","2024-51",2024-12-16,27,"no",1,6,16.6666666666667,"no","yes"
"252","Utility5","PanRSV",2024-12-19,"No Detection","2024-51",2024-12-16,27,"no",1,6,16.6666666666667,"no","yes"
"253","Utility5","PanRSV",2024-12-26,"Detection","2024-52",2024-12-23,26,"yes",2,7,28.5714285714286,"no","yes"
"254","Utility5","sars-cov-2",2024-12-02,"Detection","2024-49",2024-12-02,29,"yes",2,2,100,"yes","no"
"255","Utility5","sars-cov-2",2024-12-05,"Detection","2024-49",2024-12-02,29,"yes",2,2,100,"yes","no"
"256","Utility5","sars-cov-2",2024-12-09,"Detection","2024-50",2024-12-09,28,"yes",4,4,100,"yes","no"
"257","Utility5","sars-cov-2",2024-12-12,"Detection","2024-50",2024-12-09,28,"yes",4,4,100,"yes","no"
"258","Utility5","sars-cov-2",2024-12-16,"Detection","2024-51",2024-12-16,27,"yes",6,6,100,"yes","no"
"259","Utility5","sars-cov-2",2024-12-19,"Detection","2024-51",2024-12-16,27,"yes",6,6,100,"yes","no"
"260","Utility5","sars-cov-2",2024-12-26,"Detection","2024-52",2024-12-23,26,"yes",7,7,100,"yes","no"
